Text,label
少年 很 品味 ,Love
咩 不信 ,None
小子 想来 澳门 瞧瞧 心碎 ,Sorrow
美 出新 高度 不像 停留 普通 美 ,Love
在家 旁边 照个 相 ,None
虫子 土 很 好 天干 地燥 土 很结 挖 费劲 ,None
说 天下 猥亵 学生 老师 冤枉 ,Disgust
中国 演员 里 内地 算是 练 不错 看 ,None
冷酷 贱 哈哈哈 萌 ,Happiness
最 好喝 芋头 风暴 牛奶 冰 夏天 吃 比较 爽 ,Love
脸太肉 需要 遮起来 哈哈哈 ,Happiness
每次 帮 身边 收尾 奶茶 朋友 不错 收尾 杯 真的 会 撑 ,None
越多人 搭理 越 上劲 ,Disgust
川魂 冒牌货 冒菜 很 好吃 吃 好 ,Love
不用 每去 尤安店 回家 感叹 诶 心里 头 晓得 行赖 ,None
抱住 我丁 委屈 不行 ,Sorrow
喜欢 很 喜欢 ,Love
哈哈哈 哈哈 再 熬 一周 ,Happiness
不好 笑 见 ,Fear
相比之下 会 好 很多 我家 这位 没个 停 希望 有个 女儿 妹妹 多好 衣服 可爱 ,Love
哈哈 说明 爱惜 ,Happiness
关注点 总是 很 奇怪 哈哈哈 ,Happiness
老夏 家 真的 超级 温馨 ,Love
小本经营 超薄 利 嘤 嘤 嘤 ,Sorrow
最近 蛮 喜欢 ,Love
听 好 激动 老师 咨询 太 震撼 ,Love
震感 刺激 大于 恐惧 ,None
您好 法定 节假日 包含 周六日 您 周六日 勾选为 闹钟 您 需要 周六日 取消 ,None
感觉 内讧 好乱 媒体 骂人 属实 ,Sorrow
他俩 去次 烤 牛舌 烤 脑花 ,None
昨个 吃 爽 ,Happiness
朋友 抓 超多 娃娃 hh ,Happiness
嘿嘿 懒癌 终于 撸 ,Happiness
下午 做 肩颈 护理 买 墨镜 唇膏 ,None
妮儿 态度 义务 快乐 懂得 心疼 ,Love
很 不如 花 钱 吃吃喝喝 ,Disgust
学弟 发际 线 高 ,None
我俩 吃 三千里 特别 特别 开心 回家 见 哥俩 专辑 中 专辑 ,Happiness
蛮 拼 ,Love
长成 古力 娜 扎 ab 我管 黑 照镜子 原谅 ,None
人民 需要 国家 需要 ,None
老王 说 很 丧 截 ,None
告诉 真的 喜欢 ,None
哈哈哈 哈哈 发现 ,Happiness
终于 晴上 hold 住 亲爱 老天爷 ,Happiness
第一个 必要 第二个 点缀 ,None
羽林兄 思维 鉴赏 别具一格 写博 字字 推敲 唯 这份 执着 令人 折服 ,Love
好不容易 玩儿 钱 太冷 ,None
毛概 背 完 时间 矫情 ,None
关键 前段时间 看 囧 ,None
鼓励 好 正 能量 ,None
一撇 超有 气场 裤子 好 显腿细 大腿 细 独独 大腿 粗 暴击 ,Love
人才 灏 明合 ,None
那敢 问 骂 您 关系 ,Disgust
恒大 紧张 ,Sorrow
好用 ,None
城西 ,None
姐姐 真 好 哒 ,Love
意淫 不黑 ,None
一点 喜欢 杜鹃 演戏 看 摔 凳子 那下 笑 ,Disgust
话 说 串串 真的 肿 ,None
找 韩国 剪 帮 弄完 回家 洗完 头 咋整 桥下 找 块钱 剪头 大叔 ,None
两天 昆明 约 ,None
善良 要好看 ,Love
求 关注 交个 朋友 ,None
哈哈 老板 主 貌似 不太 喜欢 htc ,Disgust
放松 哦 还来 大姨妈 抵抗力 最低 ,Sorrow
哈哈哈 店 会 帮 好 剥 挺 享受 剥壳 乐趣 ,None
迷人 ,None
说 挺 好 支持 任盈盈 讨厌 东方不败 冲盈 好 非要 插一脚 ,Disgust
挺 短 贼 好看 期待 老婆 repo 铁定 贼 可爱 本来 想 搭配 制服 裙 回头 发现 ,Love
先 清 卡 扩关 明明 涨 好多 ,Sorrow
最近 肯定 谈恋爱 哈哈 ,Happiness
说 想 看 ,None
求问 港版 系统 通知 关掉 下拉菜单 栏 显示 唯品 会 落网 后天 运行 通知 关不掉 ,None
爱 加班 加班 爱 ,None
冻 完 太甜 冻牙 ,None
下次 拉着 小姑 凉去 水泥 ,None
甜 ,None
耶 会 做饭 白里透红 ,None
好 ～ 小盆友 ～ ,None
感谢 分享 推荐 没错 一部 好片 ,Love
不行 睡觉 关门 睡不着 ,None
他家 虐 就行了 ,None
童鞋 您好 解决 您 问题 邮差 小易 您 发 私信 请 您 移步 私信 查看 喔 谢谢 ,None
漏过 饱含 高科技 手艺 ,None
哈哈哈 讨厌 ,Happiness
电脑 端的 付钱 两个 权益 买 发现 ,None
华西 口腔 四川 分数线 高过 清华 ,None
东北 真的 很 冷 超冷 ,None
小年 ,None
我快 痴线 稳到 交接 唔 批人 走 喔 癫 噶 ,None
悲伤 故事 有空 请 吃饭 ,None
乐视 梦 中国 梦 乐视 强则 国强 乐视 中国 ,Love
好好 拜 某亮 想要 明信片 ,Love
ok 谢谢 问题 「 降 」 门 玩 ,Happiness
噢 （ ） 宝 （ 爱 ） 贝 ,None
撒野 jvj （ 应该 看过 惹 ） ,None
挺 羡慕 是因为 舍不得 ” 听话 ” 形象 导致 见 说 人话 见鬼 说鬼话 挺假 ,Sorrow
号 买 哈哈 ,Happiness
帅哥美女 推荐 只好 推荐 哈哈 王力宏 新歌 ,Happiness
好 姑娘 很 窝 小猫 跑 纯白 养 两只 大脸 猫 加菲 哈哈 ,Happiness
还好 团姐 母 ,Happiness
最近 体重 降 瘦 吃 不好 睡不香 ,Sorrow
喜欢 所有 歌 ,Love
吃 拉面 早 拍 ,None
我要 举报 土雷 昨天 王者 荣耀 打到 点 ,None
故意 说 素素 听 ,None
比较 顺眼 d 姐 ,None
高兴 好 哈哈 ,Happiness
好像 我过 假年 ,None
真的 危害 社会 ,None
端午 哈哈 号 早上 考完 英语口语 回去 哦 ,Happiness
哈哈 夸张 你家 餐桌 吃 健康 ,Happiness
看 好像 端午 假期 几月份 季节 比较 合适 ,None
很漂亮 望尘莫及 ,Love
好 可爱 蛋糕 ,Love
他家 作 广告 喜欢 他家 洗发水 香芹 籽 精华 面霜 ,Love
乡村 黄昏 怡神 ,Love
喜欢 结婚 ,Disgust
哥 93 年 过生日 同学 学校 广播站 点 这歌 ,None
说 看 ,None
放心 清理 ,None
胖 张勇 拍 胖 哪家 女票 哪家 疼 机智 ,None
喜欢 见 之欢 爱 久 处 不厌 ,Love
情况 下次 说 说 ,None
唯 票房 真心 心塞 ,Disgust
图 图 名字 一声 ,None
好开心 一段时间 见 不到 反正 每次 回来 必约 ,None
翻译 应该 冰 三岁 发现 好像 ,None
咔 咔 湖南 会 下雪 ,None
暑假 成都 约 ,None
